Time_of_incidient,Year,Month,Weekday,Hour,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Case Closed,Date Case Closed,Crime Domain_Fire Accident,Crime Domain_Other Crime,Crime Domain_Traffic Fatality,Crime Domain_Violent Crime,North_India,South_India,East_India,West_India,Central_India,lat,lon,Region,Weapon Category,Crime Domain
2022-11-09 17:48:00,2022,11,3,17,Bangalore,429,ILLEGAL POSSESSION,10,1,Poison,12,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Other,Other Crime
2022-11-09 05:21:00,2022,11,3,5,Ghaziabad,377,DOMESTIC VIOLENCE,71,0,Knife,6,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,28.6692,77.4538,North,Sharp,Violent Crime
2022-11-09 23:16:00,2022,11,3,23,Agra,539,TRAFFIC VIOLATION,23,2,Not Given,15,1,22-11-2022 15:00,0.0,0.0,1.0,0.0,1,0,0,0,0,27.1767,78.0081,North,Unknown,Traffic Fatality
2022-11-10 02:17:00,2022,11,4,2,Ludhiana,170,PUBLIC INTOXICATION,68,0,Knife,11,1,08-12-2022 10:00,0.0,1.0,0.0,0.0,1,0,0,0,0,30.9,75.8573,North,Sharp,Other Crime
2022-11-09 11:02:00,2022,11,3,11,Hyderabad,238,FRAUD,55,0,Firearm,10,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Gun,Other Crime
2022-11-09 13:30:00,2022,11,3,13,Kanpur,128,SEXUAL ASSAULT,23,1,Not Given,9,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,26.4499,80.3319,North,Unknown,Violent Crime
2022-11-09 16:37:00,2022,11,3,16,Ahmedabad,140,ROBBERY,56,2,Blunt Object,3,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,1,0,23.0225,72.5714,West,Blunt,Violent Crime
2022-11-09 12:07:00,2022,11,3,12,Ahmedabad,156,SEXUAL ASSAULT,60,0,Blunt Object,6,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,1,0,23.0225,72.5714,West,Blunt,Violent Crime
2022-11-09 11:06:00,2022,11,3,11,Delhi,535,ARSON,70,2,Other,4,0,Not Given,1.0,0.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Other,Fire Accident
2022-11-10 01:05:00,2022,11,4,1,Kolkata,196,KIDNAPPING,72,1,Blunt Object,13,0,Not Given,0.0,1.0,0.0,0.0,0,0,1,0,0,22.5726,88.3639,East,Blunt,Other Crime
2022-11-10 03:11:00,2022,11,4,3,Pune,597,VEHICLE - STOLEN,79,0,Poison,5,1,14-12-2022 23:00,0.0,0.0,0.0,1.0,0,0,0,1,0,18.5204,73.8567,West,Other,Violent Crime
2022-11-09 23:32:00,2022,11,3,23,Hyderabad,270,COUNTERFEITING,78,1,Firearm,13,1,27-12-2022 15:00,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Gun,Other Crime
2022-11-10 03:11:00,2022,11,4,3,Jaipur,372,ARSON,51,2,Firearm,4,0,Not Given,1.0,0.0,0.0,0.0,1,0,0,0,0,26.9124,75.7873,North,Gun,Fire Accident
2022-11-10 07:32:00,2022,11,4,7,Bangalore,122,EXTORTION,28,1,Blunt Object,12,1,16-01-2023 10:00,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Blunt,Other Crime
2022-11-09 19:44:00,2022,11,3,19,Nagpur,173,BURGLARY,12,0,Other,1,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,1,21.1458,79.0882,Central,Other,Other Crime
2022-11-10 00:24:00,2022,11,4,0,Chennai,174,VANDALISM,64,2,Other,14,1,06-01-2023 13:00,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Other,Other Crime
2022-11-10 05:33:00,2022,11,4,5,Lucknow,561,DRUG OFFENSE,12,2,Firearm,10,1,12-01-2023 01:00,0.0,1.0,0.0,0.0,1,0,0,0,0,26.8467,80.9462,North,Gun,Other Crime
2022-11-10 05:09:00,2022,11,4,5,Mumbai,221,PUBLIC INTOXICATION,39,2,Firearm,14,1,19-11-2022 01:00,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Gun,Other Crime
2022-11-10 15:46:00,2022,11,4,15,Faridabad,136,VEHICLE - STOLEN,52,1,Poison,2,1,23-11-2022 14:00,0.0,0.0,0.0,1.0,1,0,0,0,0,28.4089,77.3178,North,Other,Violent Crime
2022-11-10 15:47:00,2022,11,4,15,Kolkata,566,HOMICIDE,45,1,Blunt Object,18,0,Not Given,0.0,1.0,0.0,0.0,0,0,1,0,0,22.5726,88.3639,East,Blunt,Other Crime
2022-11-10 19:27:00,2022,11,4,19,Pune,217,ILLEGAL POSSESSION,27,0,Blunt Object,7,1,21-11-2022 17:00,0.0,1.0,0.0,0.0,0,0,0,1,0,18.5204,73.8567,West,Blunt,Other Crime
