Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
25034,11-11-2022 08:00,11-09-2022 01:00,09-11-2022 17:48,Bangalore,429,ILLEGAL POSSESSION,10,F,Poison,Other Crime,12,No,
25035,09-11-2022 06:00,11-09-2022 02:00,09-11-2022 05:21,Ghaziabad,377,DOMESTIC VIOLENCE,71,M,Knife,Violent Crime,6,No,
25036,11-11-2022 15:00,11-09-2022 03:00,09-11-2022 23:16,Agra,539,TRAFFIC VIOLATION,23,X,None,Traffic Fatality,15,Yes,22-11-2022 15:00
25037,10-11-2022 10:00,11-09-2022 04:00,10-11-2022 02:17,Ludhiana,170,PUBLIC INTOXICATION,68,M,Knife,Other Crime,11,Yes,08-12-2022 10:00
25038,11-11-2022 02:00,11-09-2022 05:00,09-11-2022 11:02,Hyderabad,238,FRAUD,55,M,Firearm,Other Crime,10,No,
25039,12-11-2022 02:00,11-09-2022 06:00,09-11-2022 13:30,Kanpur,128,SEXUAL ASSAULT,23,F,None,Violent Crime,9,No,
25040,12-11-2022 03:00,11-09-2022 07:00,09-11-2022 16:37,Ahmedabad,140,ROBBERY,56,X,Blunt Object,Violent Crime,3,No,
25041,10-11-2022 10:00,11-09-2022 08:00,09-11-2022 12:07,Ahmedabad,156,SEXUAL ASSAULT,60,M,Blunt Object,Violent Crime,6,No,
25042,12-11-2022 04:00,11-09-2022 09:00,09-11-2022 11:06,Delhi,535,ARSON,70,X,Other,Fire Accident,4,No,
25043,10-11-2022 05:00,11-09-2022 10:00,10-11-2022 01:05,Kolkata,196,KIDNAPPING,72,F,Blunt Object,Other Crime,13,No,
25044,10-11-2022 23:00,11-09-2022 11:00,10-11-2022 03:11,Pune,597,VEHICLE - STOLEN,79,M,Poison,Violent Crime,5,Yes,14-12-2022 23:00
25045,09-11-2022 15:00,11-09-2022 12:00,09-11-2022 23:32,Hyderabad,270,COUNTERFEITING,78,F,Firearm,Other Crime,13,Yes,27-12-2022 15:00
25046,10-11-2022 07:00,11-09-2022 13:00,10-11-2022 03:11,Jaipur,372,ARSON,51,X,Firearm,Fire Accident,4,No,
25047,11-11-2022 10:00,11-09-2022 14:00,10-11-2022 07:32,Bangalore,122,EXTORTION,28,F,Blunt Object,Other Crime,12,Yes,16-01-2023 10:00
25048,11-11-2022 09:00,11-09-2022 15:00,09-11-2022 19:44,Nagpur,173,BURGLARY,12,M,Other,Other Crime,1,No,
25049,10-11-2022 13:00,11-09-2022 16:00,10-11-2022 00:24,Chennai,174,VANDALISM,64,X,Other,Other Crime,14,Yes,06-01-2023 13:00
25050,12-11-2022 01:00,11-09-2022 17:00,10-11-2022 05:33,Lucknow,561,DRUG OFFENSE,12,X,Firearm,Other Crime,10,Yes,12-01-2023 01:00
25051,12-11-2022 01:00,11-09-2022 18:00,10-11-2022 05:09,Mumbai,221,PUBLIC INTOXICATION,39,X,Firearm,Other Crime,14,Yes,19-11-2022 01:00
25052,12-11-2022 14:00,11-09-2022 19:00,10-11-2022 15:46,Faridabad,136,VEHICLE - STOLEN,52,F,Poison,Violent Crime,2,Yes,23-11-2022 14:00
25053,12-11-2022 16:00,11-09-2022 20:00,10-11-2022 15:47,Kolkata,566,HOMICIDE,45,F,Blunt Object,Other Crime,18,No,
25054,11-11-2022 17:00,11-09-2022 21:00,10-11-2022 19:27,Pune,217,ILLEGAL POSSESSION,27,M,Blunt Object,Other Crime,7,Yes,21-11-2022 17:00
25055,10-11-2022 12:00,11-09-2022 22:00,10-11-2022 03:32,Chennai,598,KIDNAPPING,46,X,Blunt Object,Other Crime,12,No,
25056,12-11-2022 19:00,11-09-2022 23:00,10-11-2022 11:58,Visakhapatnam,548,VANDALISM,58,M,Blunt Object,Other Crime,17,No,
25057,10-11-2022 21:00,11-10-2022 00:00,10-11-2022 08:46,Visakhapatnam,409,DOMESTIC VIOLENCE,54,F,Blunt Object,Violent Crime,13,No,
25058,12-11-2022 19:00,11-10-2022 01:00,10-11-2022 23:19,Patna,101,EXTORTION,60,X,Blunt Object,Other Crime,16,Yes,18-01-2023 19:00
25059,11-11-2022 04:00,11-10-2022 02:00,10-11-2022 05:00,Hyderabad,268,DOMESTIC VIOLENCE,20,M,Poison,Violent Crime,7,No,
25060,11-11-2022 21:00,11-10-2022 03:00,10-11-2022 10:43,Mumbai,301,TRAFFIC VIOLATION,10,F,Knife,Traffic Fatality,11,No,
25061,12-11-2022 23:00,11-10-2022 04:00,10-11-2022 05:40,Chennai,224,HOMICIDE,74,X,None,Other Crime,17,Yes,29-02-2024 23:00
25062,11-11-2022 05:00,11-10-2022 05:00,11-11-2022 03:45,Delhi,399,IDENTITY THEFT,10,X,None,Violent Crime,15,No,
25063,11-11-2022 00:00,11-10-2022 06:00,10-11-2022 17:10,Nashik,379,DRUG OFFENSE,42,X,Blunt Object,Other Crime,14,Yes,16-12-2022 00:00
25064,10-11-2022 20:00,11-10-2022 07:00,10-11-2022 21:17,Bangalore,356,EXTORTION,52,F,Explosives,Other Crime,19,No,
25065,12-11-2022 13:00,11-10-2022 08:00,10-11-2022 17:48,Bangalore,223,ILLEGAL POSSESSION,47,X,None,Other Crime,15,Yes,09-02-2023 13:00
25066,11-11-2022 21:00,11-10-2022 09:00,10-11-2022 09:27,Surat,552,HOMICIDE,51,F,Other,Other Crime,15,Yes,19-09-2023 21:00
25067,11-11-2022 20:00,11-10-2022 10:00,10-11-2022 16:00,Rajkot,268,DOMESTIC VIOLENCE,30,M,Explosives,Violent Crime,9,Yes,21-11-2022 20:00
25068,13-11-2022 00:00,11-10-2022 11:00,11-11-2022 05:51,Bangalore,454,CYBERCRIME,17,F,Other,Other Crime,17,Yes,08-01-2023 00:00
25069,11-11-2022 20:00,11-10-2022 12:00,11-11-2022 08:11,Lucknow,347,VANDALISM,10,F,None,Other Crime,11,Yes,12-12-2022 20:00
